,participant_id,bigram,iki_ms_mean,iki_ms_std,keystroke_count,coeff_var
1,345, SHIFT,177.875,115.03345786583756,8,0.64670953122045
2,345, a,147.33333333333334,105.31194642872222,12,0.7147869667107842
3,345, b,209.16666666666666,95.13867072156656,6,0.45484623452541784
6,345, h,187.77777777777777,119.47152147873754,9,0.6362388717802592
13,345, o,134.85714285714286,58.31931804421977,7,0.4324525702431551
16,345, t,111.3,36.848187050232056,10,0.331070862985014
18,345, w,134.4,101.03816660604602,10,0.7517720729616519
28,345,BKSPBKSP,156.1578947368421,88.90273284006938,19,0.5693130852582805
91,345,d ,61.714285714285715,17.717357644546265,7,0.28708681368477745
99,345,e ,86.82758620689656,37.159952488741396,29,0.42797403581155696
102,345,ea,84.0,18.76166303929372,6,0.22335313142016333
111,345,er,80.0,19.123657749350297,8,0.23904572186687872
122,345,g ,75.83333333333333,20.827065723876384,6,0.27464262493023806
128,345,he,78.22222222222223,79.57665766067612,9,1.017315225775689
138,345,in,124.75,137.12444580148224,12,1.099193954320499
140,345,is,64.0,21.46625258399798,6,0.33541019662496846
163,345,n ,81.16666666666667,15.706590008559136,12,0.1935103491814267
166,345,ne,83.83333333333333,38.72165630066289,6,0.46188854434190335
167,345,ng,72.0,29.444863728670914,7,0.4089564406759849
178,345,on,117.72727272727273,137.76217979481228,11,1.1701806777937722
197,345,re,81.66666666666667,21.18962010041709,9,0.2594647359234746
203,345,s ,72.125,21.182455678495554,8,0.29369089328936643
211,345,t ,82.0,21.6992429097686,8,0.26462491353376344
214,345,te,90.66666666666667,39.08281804919736,6,0.4310604931896767
215,345,th,66.28571428571429,27.602622373694167,7,0.41641887201693784
230,345,ve,117.85714285714286,45.637808052200796,7,0.3872298865035219
242,345,y ,98.5,26.27356085497358,6,0.2667366584261277
254,447, a,273.5,155.3052294216595,8,0.567843617629468
262,447, i,440.0,199.25528014751995,7,0.4528529094261817
266,447, o,411.27272727272725,182.6253492312011,11,0.4440492576355465
270,447, s,475.6666666666667,322.50932803047215,6,0.6780154058103829
271,447, t,314.5882352941176,174.1838320652671,17,0.5536883218230256
272,447, w,372.14285714285717,228.68482077467942,14,0.6145081556325358
284,447,BKSPBKSP,154.5,12.305631695633158,8,0.07964810158985863
308,447,SHIFTI,174.83333333333334,59.02005308932437,6,0.33757894998660265
329,447,an,182.85714285714286,68.96237759684279,7,0.377138002482734
344,447,ct,449.3333333333333,235.6935863927287,6,0.5245406225357464
345,447,d ,259.6666666666667,170.52565789346775,9,0.6567098506808771
353,447,e ,203.72413793103448,78.76814827242043,29,0.38664121528439277
359,447,ed,279.2857142857143,90.67471953033414,7,0.3246665149423729
367,447,er,192.71428571428572,160.36595054823232,7,0.8321435536231476
376,447,g ,149.33333333333334,20.802644062714723,9,0.1393034200628218
383,447,he,113.16666666666667,27.574142476844738,12,0.2436595800604837
384,447,hi,150.42857142857142,16.050515493872698,7,0.10669858353001795
394,447,in,156.64705882352942,11.157627304172852,17,0.07122781230602271
397,447,is,150.7,29.299412204949704,10,0.19442211151260588
407,447,l ,363.7142857142857,155.3133545296028,7,0.427020220623417
412,447,ll,153.5,12.864680330268607,6,0.08380899237960004
424,447,n ,262.6666666666667,160.0320801172898,6,0.6092591882637937
430,447,ng,107.55555555555556,19.099156467702382,9,0.1775748018691337
445,447,on,189.0,46.531709618280736,6,0.24619952178984517
448,447,or,247.5,172.96097825810307,6,0.698832235386275
451,447,ou,172.5,33.65369858680363,8,0.19509390485103553
465,447,re,118.81818181818181,25.498306539133864,11,0.21459936643494454
474,447,s ,300.375,232.42457557954867,16,0.7737813585669535
484,447,t ,204.88888888888889,116.71701294631863,9,0.5696600414950476
490,447,th,125.9375,14.748870013213441,16,0.11711261548953601
512,447,wi,168.83333333333334,22.021958738192808,6,0.13043608334566323
516,447,y ,277.25,76.71980560082625,8,0.27671706258188006
522,1488, a,323.0,176.7742709139055,8,0.5472887644393359
527,1488, f,297.1666666666667,69.20236026803325,6,0.23287389882680845
529,1488, h,360.8888888888889,174.1468090753061,9,0.4825496556889639
530,1488, i,210.5,80.413307356432,6,0.38201096131321616
538,1488, t,237.7058823529412,57.84004312096676,17,0.24332609083306975
540,1488, w,313.3333333333333,100.35669716898155,6,0.3202873313903667
554,1488,BKSPBKSP,181.04,191.0454745167583,25,1.0552666511089168
610,1488,at,141.0,53.2024435529046,13,0.37732229470145107
628,1488,d ,113.0,21.567170819160708,8,0.1908599187536346
636,1488,e ,106.35714285714286,21.886445200545555,14,0.20578256064985748
643,1488,ed,258.5,90.36315620871153,6,0.3495673354302187
650,1488,es,255.83333333333334,59.33099246318628,6,0.23191267412320368
661,1488,ha,96.0,31.189741903388683,6,0.32489314482696546
662,1488,he,83.42857142857143,28.704570732766257,7,0.34406163549548596
664,1488,ho,237.33333333333334,202.04817907288023,6,0.851326597217192
666,1488,iBKSP,438.5,75.81490618605288,6,0.17289602322931102
671,1488,in,192.9090909090909,41.98203078807538,11,0.21762598429256794
694,1488,n ,128.0,33.17830616532436,6,0.25920551691659655
705,1488,o ,209.875,191.25632575906383,8,0.9112868410199587
711,1488,on,195.42857142857142,12.094863136295274,7,0.06188891955706646
716,1488,ou,195.54545454545453,45.649454840914885,11,0.2334467704556317
